barcode,name,taxable,last_net_cost,retail1,supplier,group,sub_group,packing,pack_qty,expiry,buying_qty,selling_qty
54491069,Sprite zero 0.5Ltr,YES,2.900,4.000,Coca Cola Bottling Co. Ltd,BEVERAGES," ENERGY  AND SOFT DRINKS",pcs,12.000,2024-01-01,1,1
5449000234292,Pet F Orange 0.5Ltr,YES,5.543,7.000,Coca Cola Bottling Co. Ltd,BEVERAGES," ENERGY  AND SOFT DRINKS",Pcs,12.000,2024-01-01,1,1
42094562,FANTA ORANGE.350ml,YES,3.007,4.000,Coca Cola Bottling Co. Ltd,BEVERAGES," ENERGY  AND SOFT DRINKS",pcs,1.000,2024-01-01,1,1
5449000014535,Sprite Can 330ML,YES,4.710,6.500,Coca Cola Bottling Co. Ltd,BEVERAGES," ENERGY  AND SOFT DRINKS",PCS,24.000,2024-01-01,1,1
6130003015146,Fanta Can 330ML,YES,4.710,6.500,Coca Cola Bottling Co. Ltd,BEVERAGES," ENERGY  AND SOFT DRINKS",PCS,24.000,2024-01-01,1,1
6034000106893,Malta Can 330ML,YES,5.652,8.000,Guiness Ghana Ltd,BEVERAGES," ENERGY  AND SOFT DRINKS",PCS,24.000,2024-01-01,1,1
6034000083040,Royal Orange Drink 500ML,YES,2.552,3.400,Kasapreko Co. Ltd,BEVERAGES," ENERGY  AND SOFT DRINKS",500ml,16.000,2024-01-01,1,1
6034000351187,Big Boss Energy Drink 350ML,YES,2.319,3.000,Blow Chem Inds. Ltd,BEVERAGES," ENERGY  AND SOFT DRINKS",350ML,16.000,2024-01-01,1,1
90162602,Redbull 250ML,YES,11.775,17.600,Cash Purchase,BEVERAGES," ENERGY  AND SOFT DRINKS",PCS,24.000,2024-01-01,1,1
9556001204356,MILO ENERGY DRINK 235ML,YES,9.928,13.000,CEEBOTCH VENTURES LTD.,BEVERAGES," ENERGY  AND SOFT DRINKS",PCS,24.000,2024-01-01,1,1
095188990342,TAMPICO CITRUS 1Ltr,YES,8.116,12.100,INTERBRANDS GHANA LTD.,BEVERAGES,FRUIT JUICES AND DRINKS,pcs,6.000,2024-01-01,1,1
6253500771442,Fruitelli Mango 1Ltr,YES,16.230,24.200,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,pcs,6.000,2024-01-01,1,1
8690558010037,Dimes Apple Juice 1L,YES,24.275,36.300,Gold Coast Matcom Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,PCS,12.000,2024-01-01,1,1
5411188543381,Alpro Soya Original Drink 1lt,YES,32.391,48.400,Gold Coast Matcom Ltd,BEVERAGES," ENERGY  AND SOFT DRINKS",1LTR,12.000,2024-01-01,1,1
5411188110835,Alpro Soya Almond Drink 1Ltr,YES,32.000,42.000,Gold Coast Matcom Ltd,BAKERY  CAKE  AND  DAIRY,DAIRY,1LTR,8.000,2024-01-01,1,1
6253500771428,Fruite Cocktail 1 Ltr,YES,16.230,24.200,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,PCS,6.000,2024-01-01,1,1
6002323007463,PEARLY BAY SWEET WHITE 750ML,YES,33.768,48.000,Far East Mercantile Ltd,ALCOHOL  AND  Cigerates,WINE  AND  CHAMPAGNE,PCS,1.000,2024-01-01,1,1
6034000163339,HAPPY DELIGHT PINEAPPLE COCONUT 1L,YES,12.608,22.890,Healthi Life Beverage Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,pcs,1.000,2024-01-01,1,1
6253500771404,Fruitelli Orange 1Ltr,YES,16.230,24.200,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,PCS,6.000,2024-01-01,1,1
6253500771466,Frutelli Multifruit/tropical 1Ltr,YES,16.230,24.200,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,1LTR,6.000,2024-01-01,1,1
6253500771411,Fruitel Pineapple1Ltr,YES,16.230,24.200,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,PCS,6.000,2024-01-01,1,1
6253500771527,Jui.Cocktail 200ML,YES,2.264,3.300,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,PCS,24.000,2024-01-01,1,1
6253500771213,Fruity Pine Apple 125ML,YES,1.776,2.600,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,125ML,24.000,2024-01-01,1,1
9501053210497,Kalyppo Juice Fruitimix 250ML,YES,2.627,3.900,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,PCS,24.000,2024-01-01,1,1
9501053210480,K. Apple 250ML,YES,2.470,3.200,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,PCS,24.000,2024-01-01,1,1
9501053210428,K.Pineapple 250ML,YES,2.627,3.900,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,PCS,24.000,2024-01-01,1,1
9501053210534,K.Multifruit 250ML,YES,2.627,3.900,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,PCS,24.000,2024-01-01,1,1
9501053210510,Kalyppo Juice OrangeAnanas 250ML,YES,2.627,3.900,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,PCS,24.000,2024-01-01,1,1
9501053210466,Kalyppo Juice Orange 250ML,YES,2.627,3.500,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,250ML,24.000,2024-01-01,1,1
6253500771299,Fruity Mango 125ML,YES,1.776,2.600,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,PCS,24.000,2024-01-01,1,1
6253500771237,Fru.Cocktail 125ML,YES,1.776,2.600,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,PCS,24.000,2024-01-01,1,1
6253500771510,Juicee Pineapple 200ML,YES,2.264,3.300,Aquafresh Ltd,BEVERAGES,FRUIT JUICES AND DRINKS,200ML,24.000,2024-01-01,1,1
6034000130690,FANICE VANILLA&STRAWBERRY 1L,YES,27.383,38.000,Fanmilk Ltd   JTPM LTD,BAKERY  CAKE  AND  DAIRY,ICE CREAM  AND DESSERTS,pcs,1.000,2024-01-01,1,1
5413721000894,Incolac Banana,YES,20.000,28.000,Gold Coast Matcom Ltd,BAKERY  CAKE  AND  DAIRY,DAIRY,pcs,20.000,2024-01-01,1,1
5413721000900,Incolac Chocolate,YES,17.392,22.700,Gold Coast Matcom Ltd,BAKERY  CAKE  AND  DAIRY,DAIRY,0.5LTR,20.000,2024-01-01,1,1
5413721000887,Incolac Strawberry,YES,17.392,22.700,Gold Coast Matcom Ltd,BAKERY  CAKE  AND  DAIRY,DAIRY,000.5Ltr,20.000,2024-01-01,1,1
8410128113100,Pascual Creamy Strawberry 125gm,YES,8.080,11.000,Gold Coast Matcom Ltd,BAKERY  CAKE  AND  DAIRY,DAIRY,PCS,1.000,2024-01-01,1,1
8859349202086,ABEVIA EVAPORATED MILK 170G,YES,4.747,7.700,Far East Mercantile Ltd,BAKERY  CAKE  AND  DAIRY,DAIRY,PCS,12.000,2024-01-01,1,1
8413479322252,Ken Presto Sweetened 1lt,YES,42.029,62.800,Gold Coast Matcom Ltd,BAKERY  CAKE  AND  DAIRY,DAIRY,1LTR,12.000,2024-01-01,1,1
5413721501100,Incolac Full Crea 1Ltr,YES,12.928,18.000,Gold Coast Matcom Ltd,BAKERY  CAKE  AND  DAIRY,DAIRY,Pcs,12.000,2024-01-01,1,1
6033000084415,CARNATION TEA CREAMER 160g,YES,5.423,8.100,CEEBOTCH VENTURES LTD.,BAKERY  CAKE  AND  DAIRY,DAIRY,160GM,24.000,2024-01-01,1,1
6008155000528,Miksi Powder 400g,YES,22.666,32.000,Promasidor Ghana Ltd,BAKERY  CAKE  AND  DAIRY,DAIRY,PCS,12.000,2024-01-01,1,1
6008155000108,COWBELL PREMIUM SACHET 360G,YES,40.797,61.000,Promasidor Ghana Ltd,BAKERY  CAKE  AND  DAIRY,DAIRY,PCS,12.000,2024-01-01,1,1
6033000083708,Nido Essential Pouch 365g,YES,35.742,53.400,CEEBOTCH VENTURES LTD.,BAKERY  CAKE  AND  DAIRY,DAIRY,365gm,12.000,2024-01-01,1,1
6008155000368,COWBELL VITARICH 400G,YES,46.594,83.500,Promasidor Ghana Ltd,BAKERY  CAKE  AND  DAIRY,DAIRY,pcs,12.000,2024-01-01,1,1
7501058625915,N. Lactogen 1 400gm,YES,21.878,39.400,CEEBOTCH VENTURES LTD.,BABY CARE," BABY FOOD  AND FORMULA",pcs,1.000,2024-01-01,1,1
6033000298898,Lipton Yellow Label 100tea Bags 200Gm,YES,17.555,32.990,Y&K Investment Ltd,BEVERAGES,TEA,200gm,12.000,2024-01-01,1,1
2010000023303,DELRON CELLING FAN 36(DS36-10B),YES,182.609,336.990,DELSEY SUPERMARKET LTD.,ELECTRONICS,FANS,PCS,24.000,2024-01-01,1,1
6181002001067,NESCAFE CLASSIC-50Gm,YES,17.020,25.400,CEEBOTCH VENTURES LTD.,BEVERAGES,COFFEE,50GM,48.000,2024-01-01,1,1
8901095900171,Society Masala Tea 225g,YES,23.067,49.240,CHANDLOK FZCO,BEVERAGES,TEA,PCS,48.000,2024-01-01,1,1
6033000298874,Lipton Yellow Label 25 Tea Bags 50Gm,YES,13.540,18.000,Y&K Investment Ltd,BEVERAGES,TEA,50GM,24.000,2024-01-01,1,1
6033000085269,Milo Actigen Sachet 400gm,YES,24.706,36.900,CEEBOTCH VENTURES LTD.,SNACKS  AND BRANED FOODS,BREAKFAST CEREALS,400gm,12.000,2024-01-01,1,1
6033000083159,CERELAC MAIZE 50G,YES,3.760,5.600,CEEBOTCH VENTURES LTD.,BEVERAGES,COFFEE,PCS,108.000,2024-01-01,1,1
6291007902198,BRITANNIA DIGESTIVE SUGAR FREE 350G,YES,13.000,19.900,CHANDLOK FZCO,SNACKS  AND BRANED FOODS,BISUITS  AND COOKIES,PCS,1.000,2024-01-01,1,1
8901063136243,BRITANNIA NUTRI CHOICE-5GRAN -200Gm,YES,9.166,18.500,White lane Ltd,SNACKS  AND BRANED FOODS,BISUITS  AND COOKIES,PCS,20.000,2024-01-01,1,1
8901063136250,Britannia Little Hearts 75Gm,YES,2.600,4.000,STRATEGIC FOODS INT. CO. LLC,SNACKS  AND BRANED FOODS,BISUITS  AND COOKIES,75GM,72.000,2024-01-01,1,1
8901063152427,Britannia Wheat Rusk 233Gm,YES,7.640,16.000,STRATEGIC FOODS INT. CO. LLC,SNACKS  AND BRANED FOODS,BISUITS  AND COOKIES,233gm,24.000,2024-01-01,1,1
4006529002170,Gold-Ringe Shortbread Biscuits 400Gm,YES,19.000,23.000,Gold Coast Matcom Ltd,SNACKS  AND BRANED FOODS,BISUITS  AND COOKIES,PCS,18.000,2024-01-01,1,1
6291007901054,Britannia Milk Bikis 90G,YES,1.760,5.320,STRATEGIC FOODS INT. CO. LLC,SNACKS  AND BRANED FOODS,BISUITS  AND COOKIES,pcs,60.000,2024-01-01,1,1
8901063151345,Brittania Good day almond Biscuits-75G,YES,3.553,7.000,STRATEGIC FOODS INT. CO. LLC,SNACKS  AND BRANED FOODS,BISUITS  AND COOKIES,PCS,24.000,2024-01-01,1,1
8901719905223,PARLE FESTO MILK SHORTCAKE 60G,YES,1.304,2.000,Equator Foods Ghana Ltd,SNACKS  AND BRANED FOODS,BISUITS  AND COOKIES,PCS,48.000,2024-01-01,1,1
8901063151338,GOOD DAY BUTTER 75G,YES,2.859,6.400,STRATEGIC FOODS INT. CO. LLC,SNACKS  AND BRANED FOODS,BISUITS  AND COOKIES,PCS,24.000,2024-01-01,1,1
8901719917240,Parle Milk N Malt  33G,YES,0.664,1.000,Equator Foods Ghana Ltd,SNACKS  AND BRANED FOODS,BISUITS  AND COOKIES,52.25GM,48.000,2024-01-01,1,1
8901719906268,Parle-G Biscuit 33G,YES,0.664,1.000,Equator Foods Ghana Ltd,SNACKS  AND BRANED FOODS,BISUITS  AND COOKIES,52.25GM,48.000,2024-01-01,1,1
788821060143,SHAN GARAM MASALA 50G,YES,10.864,22.000,TRS,FOOD GRAIN OIL,MASALA AND SPICES,pcs,20.000,2024-01-01,1,1
8904082775882,GAAY UDAD GOTA 500G,YES,21.332,34.000,CHANDLOK FZCO,FOOD GRAIN OIL,MASALA AND SPICES,PCS,20.000,2024-01-01,1,1
8904082776124,GAAY UDAD 500G,YES,13.642,34.000,CHANDLOK FZCO,FOOD GRAIN OIL,MASALA AND SPICES,pcs,15.000,2024-01-01,1,1
5017689367978,Trs Kala Jeera 50gm,YES,5.280,17.570,TRS,FOOD GRAIN OIL,MASALA AND SPICES,pcs,20.000,2024-01-01,1,1
8904082709092,GAAY PANCH PUREN 100Gm,YES,9.892,19.000,CHANDLOK FZCO,FOOD GRAIN OIL,MASALA AND SPICES,100GM,20.000,2024-01-01,1,1
788821034021,SHAN CHICKEN.BIRIYANI MASALA,YES,3.815,13.180,SHAN FOODS (PRIVATE) LTD.,FOOD GRAIN OIL,MASALA AND SPICES,60GM,144.000,2024-01-01,1,1
788821026040,Shan Chaat Masala 100Gm,YES,7.994,16.000,CHANDLOK FZCO,FOOD GRAIN OIL,MASALA AND SPICES,PCS,60.000,2024-01-01,1,1
6033000086136,Maggi Shrimp Tablet 600gm,YES,9.936,20.060,CEEBOTCH VENTURES LTD.,FOOD GRAIN OIL,MASALA AND SPICES,600gm,24.000,2024-01-01,1,1
6033000298829,ANNAPURNA REFINED SALT 450G,YES,3.235,5.300,Y&K Investment Ltd,FOOD GRAIN OIL,SALT SUGAR AND JAGGERY,PCS,50.000,2024-01-01,1,1
6033000298805,ANNAPURNA REFINED SALT 200G,YES,1.609,2.600,Y&K Investment Ltd,FOOD GRAIN OIL,SALT SUGAR AND JAGGERY,PCS,100.000,2024-01-01,1,1
3265475179003,Lesier M.Mustard 240gm,YES,10.580,13.800,Gold Coast Matcom Ltd,SNACKS  AND BRANED FOODS,SPREADS SAUCES KETCHUP,pcs,12.000,2024-01-01,1,1
3265478892008,Lesieur Mayonnaise,YES,34.782,56.000,Gold Coast Matcom Ltd,SNACKS  AND BRANED FOODS,SPREADS SAUCES KETCHUP,475GM,12.000,2024-01-01,1,1
3265478891001,LESIEUR MAYONNAISE WITH EGGS  235Gm,YES,18.478,29.800,Gold Coast Matcom Ltd,SNACKS  AND BRANED FOODS,SPREADS SAUCES KETCHUP,235gm,12.000,2024-01-01,1,1
6036000003585,Royal galaxy Sugar 2KG,YES,47.236,75.000,Quanta International,FOOD GRAIN OIL,SALT SUGAR AND JAGGERY,2kg,10.000,2024-01-01,1,1
6034000153170,SUN.BROWN SUGAR 500GM,YES,5.400,14.900,OXY INDUSTRIES,FOOD GRAIN OIL,SALT SUGAR AND JAGGERY,500GM,50.000,2024-01-01,1,1
6036000003530,Royal Daddy White Sugar 1kg,YES,21.312,32.000,Quanta International,FOOD GRAIN OIL,SALT SUGAR AND JAGGERY,1KG,20.000,2024-01-01,1,1
6034000088878,RD White Sugar 500Gm,YES,10.873,18.900,Quanta International,FOOD GRAIN OIL,SALT SUGAR AND JAGGERY,500gm,40.000,2024-01-01,1,1
6036000003523,Royal Daddy Brown Sugar 1kg,YES,24.691,38.990,Quanta International,FOOD GRAIN OIL,SALT SUGAR AND JAGGERY,1KG,20.000,2024-01-01,1,1
6036000003561,Royal Galaxy Premium White Sugar 1 Kg,YES,21.312,36.990,Quanta International,FOOD GRAIN OIL,SALT SUGAR AND JAGGERY,1KG,20.000,2024-01-01,1,1
6036000009624,Becky Peanut 230G,YES,21.910,26.400,Becky Queen Catering Services,SNACKS  AND BRANED FOODS,SNACKS  AND NAMKEEN,PCS,12.000,2024-01-01,1,1
6036000009600,Becky Peanut 555Gm,YES,57.240,85.600,Becky Queen Catering Services,SNACKS  AND BRANED FOODS,SNACKS  AND NAMKEEN,555GM,12.000,2024-01-01,1,1
6036000009662,Becky-Grafik&Times 250Gm,YES,21.940,28.600,Becky Queen Catering Services,SNACKS  AND BRANED FOODS,SNACKS  AND NAMKEEN,250GM,12.000,2024-01-01,1,1
6036000009617,Becky Peanut 300Gm,YES,34.130,44.400,Becky Queen Catering Services,SNACKS  AND BRANED FOODS,SNACKS  AND NAMKEEN,pcs,12.000,2024-01-01,1,1
6036000009648,BECKY QUEEN PEANUT PASTE 1KG,YES,53.000,69.000,Becky Queen Catering Services,FOOD GRAIN OIL,MASALA AND SPICES,1KG,1.000,2024-01-01,1,1
5017689044282,GAAY CHANA DAL 500GM,YES,9.457,23.000,TRS,FOOD GRAIN OIL,DALS  AND PULSES,pcs,10.000,2024-01-01,1,1
8904082775721,GAAY CHANADAL 500G,YES,13.035,24.000,TRS,FOOD GRAIN OIL,DALS  AND PULSES,500gm,20.000,2024-01-01,1,1
8904082775806,GAAY BLACK EYE BEANS 500Gm,YES,11.614,28.000,TRS,GOURMET  AND WORLD FOOD,TINNED  AND PROCESSED FOOD,500gm,20.000,2024-01-01,1,1
8904082775752,GAAY MOONG WHOLE  500Gm,YES,12.693,27.000,TRS,FOOD GRAIN OIL,DALS  AND PULSES,PCS,20.000,2024-01-01,1,1
8904082775776,GAAY UDAD DAL 500G,YES,14.376,35.000,CHANDLOK FZCO,PROMOTIONAL ITEMS,Discountinued items food,PCS,10.000,2024-01-01,1,1
8904082775851,GAAY MASOOR DAL 500G,YES,12.262,29.900,Aandatta Ltd,FOOD GRAIN OIL,DALS  AND PULSES,PCS,10.000,2024-01-01,1,1
8904082775738,GAAY TUVER DAL 500G,YES,16.188,36.000,CHANDLOK FZCO,SNACKS  AND BRANED FOODS,SNACKS  AND NAMKEEN,500gm,1.000,2024-01-01,1,1
6034000190267,Fortune KDM Rice 900g,YES,7.774,21.000,Wilmar Africa Ltd,FOOD GRAIN OIL,RICE  AND RICE PRODUCT,pcs,20.000,2024-01-01,1,1
6034000190434,Fortune Rice 1kg,YES,7.774,19.000,Wilmar Africa Ltd,FOOD GRAIN OIL,RICE  AND RICE PRODUCT,pcs,20.000,2024-01-01,1,1
6034000190380,Fortune  Rice 5kg,YES,73.443,125.990,Wilmar Africa Ltd,FOOD GRAIN OIL,RICE  AND RICE PRODUCT,pcs,5.000,2024-01-01,1,1
8908001066099,Maida 1kg,YES,3.910,25.000,Aditya Extractions Pvt Ltd,PROMOTIONAL ITEMS,Discountinued items food,pcs,1.000,2024-01-01,1,1
6033000294050,GEISHA GERMIGUARD 2in1 210G,YES,7.722,11.990,Far East Mercantile Ltd,GOURMET  AND WORLD FOOD,TINNED  AND PROCESSED FOOD,PCS,24.000,2024-01-01,1,1
